StrategySetTxt,win_pct,gcnt,avg_scor,avg_rank,WeightedStrategySetID,wgt
"ExactFitStrategy+DisplayHighColorStrategy+FinishUnfinishedStrategy+TopRowsStrategy+FillRowStrategy+CentralPositionStrategy+AtLeastFitStrategy",30.71824,370324,65.8012,2.3196,25432111,5432111
"ExactFitStrategy+DisplayHighColorStrategy+FinishUnfinishedStrategy+TopRowsStrategy+FillRowStrategy+CentralPositionStrategy+MessWithStrategy",30.68521,370224,65.6662,2.3243,145432111,5432111
"ExactFitStrategy+DisplayHighColorStrategy+FinishUnfinishedStrategy+TopRowsStrategy+FillRowStrategy+CentralPositionStrategy+FillColumnStrategy",30.28603,370306,65.6408,2.3309,135432111,5432111
"ExactFitStrategy+DisplayHighColorStrategy+FinishUnfinishedStrategy+TopRowsStrategy+FillRowStrategy+CentralPositionStrategy",30.26787,369993,65.6281,2.3331,15543211,543211
"ExactFitStrategy+FinishUnfinishedStrategy+MostPrevalentColorStrategy+CentralPositionStrategy+MaxPlaceScoreStrategy+TopRowsStrategy",30.11853,369935,65.7945,2.3300,24543211,543211
"ExactFitStrategy+MostPrevalentColorStrategy+TopRowsStrategy+AtMostFitStrategy+MaxPlaceScoreStrategy+FinishUnfinishedStrategy+CentralPositionStrategy+MessWithStrategy",29.55257,369846,65.4486,2.3309,554321111,54321111
"ExactFitStrategy+MostPrevalentColorStrategy+TopRowsStrategy+AtMostFitStrategy+MaxPlaceScoreStrategy+FinishUnfinishedStrategy+CentralPositionStrategy",29.38580,370645,65.4162,2.3391,85432111,5432111
"ExactFitStrategy+TopRowsStrategy+MostPrevalentColorStrategy+CentralPositionStrategy+MinPenaltyStrategy+MessWithStrategy",28.68886,370060,65.1504,2.3489,26543211,543211
"ExactFitStrategy+TopRowsStrategy+MostPrevalentColorStrategy+CentralPositionStrategy+MinPenaltyStrategy+AtLeastFitStrategy",28.61147,370715,65.2009,2.3542,4543211,543211
"ExactFitStrategy+TopRowsStrategy+MostPrevalentColorStrategy+CentralPositionStrategy",28.42536,370275,65.0946,2.3612,295432,5432
"ExactFitStrategy+TopRowsStrategy+MostPrevalentColorStrategy+CentralPositionStrategy+MinPenaltyStrategy",28.39108,370789,65.0933,2.3609,2854321,54321
"ExactFitStrategy+MaxPlaceScoreStrategy+MostPrevalentColorStrategy+CentralPositionStrategy+FillRowStrategy+TopRowsStrategy+MinPenaltyStrategy+AtLeastFitStrategy",28.01795,369456,65.1396,2.3681,354321111,54321111
